timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709182037493,1309,Log In User,200,OK,Workload Config 1-1,text,true,,1266,453,1,1,https://thinking-tester-contact-list.herokuapp.com/users/login,1309,0,1003
1709182038807,319,Add User,201,Created,Workload Config 1-1,text,true,,1266,501,1,1,https://thinking-tester-contact-list.herokuapp.com/users,319,0,0
